slr_id,title,doi,source_type,exclusion_reason,exclusion_detail,date_excluded
001f5dbe487a,Applications of Vedic Computing for Quantum Computing,,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
0067a26ce270,Quantum algorithm for stochastic optimal stopping problems with applications in finance,,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
00c17032f4af,Toward Quantum Enabled Solutions for Real-Time Currency Arbitrage in Financial Markets,10.1109/aimlsystems67835.2025.11330637,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
045306ad1a16,CVaR-Based Variational Quantum Optimization for User Association in Handoff-Aware Vehicular Networks,,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
0525be4c60fb,Application of quantum computing in healthcare billing - USA,https://doi.org/10.30574/ijsra.2025.14.1.0102,peer-reviewed-theoretical,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
060ebc7a91c0,Empirical Analysis of Quantum Compution using Qiskit Framework,,conference-paper,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
06c5f405d529,Quantum Computing for Health and Financial Decision-Making: Empowering Employees to Improve Life and Finance-Revolutionizing Employee Well-being and Financial Security,,industry-whitepaper,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
0757b9aa9a3b,Parametric Quantum Feature Selection Methods for Fraud and Default Detection,,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
075a4a34de90,Efficient state preparation for multivariate Monte Carlo simulation,10.48550/arxiv.2409.07336,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
076cb93860b0,Quantum Bayesian networks with application to games displaying Parrondo’s paradox,,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
081dbc9360d1,Quantum Computing Simulated Annealing Algorithm Applying in Portfolio Optimization Problem,10.4108/eai.1-9-2023.2338767,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
082f292f8c48,Hybrid Encoding-based Quantum Self Attention for Financial Time Series Analysis,10.1109/icasspw65056.2025.11011079,conference-paper,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
0a1f9315f6a7,"Quantum computing applications, challenges, and prospects in financial portfolio optimization",10.30574/wjarr.2024.22.3.1648,review-article,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
0a96ec74c59f,Parity Quantum Optimization: Benchmarks,10.48550/arxiv.2105.06240,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
0ab4724fd60f,Risk management strategies: Navigating volatility in complex financial market environments,https://doi.org/10.30574/wjarr.2025.25.1.0057,review-article,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
0b40a3e55edc,QAMOO: Quantum Approximate Multi-Objective Optimization for Portfolio Management,10.5281/zenodo.18353290,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
0d70169cb87f,A Comparative Study of Classical and Quantum Machine Learning for Large-Scale Financial Forecasting,10.64206/h26qc363,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
0e18f027f93b,Quantum-Assisted Optimal Rebalancing with Uncorrelated Asset Selection for Algorithmic Trading: Walk-Forward QUBO Scheduling via QAOA,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
0e9ded454de6,Financial Technologies and Digital Assets by Using Quantum Computing,10.62802/knecd502,peer-reviewed-theoretical,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
0eb7690657f2,Quantum Computing for Option Portfolio Analysis,10.48550/arxiv.2406.00486,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
10a2f644907f,Quantum-Inspired Evolutionary Algorithms for Feature Subset Selection: A Comprehensive Survey,,review-article,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
