entity_id,n_value,m_precision_qubits,hardware_profile,qdk_epsilon,scenario_id,output_contract,apples_to_apples_level,base_hhl_runtime_seconds,hhl_repetitions,adjusted_hhl_seconds,readout_note,classical_benchmark_id,classical_algorithm_family,classical_solver,classical_target_kappa,classical_achieved_kappa,classical_tolerance,classical_median_seconds,classical_median_relative_residual,classical_median_iterations,ratio_adjusted_hhl_over_classical,comparison_status
hhl_s1_fixed_m,20,4,maj_e6_floquet,0.0001,state_preparation_only,quantum_state_proportional_to_solution,not_comparable_to_classical_full_vector,0.0895935,1,0.0895935,Raw QDK estimate prepares a quantum state; it does not emit x as classical data.,dense_cholesky_n20_k100,dense_direct,scipy.linalg.solve_assume_pos,100,99.99999999999999,0.0001,0.00018780000391416252,1.3720599011668234e-15,,477.06868015269254,not_apples_to_apples_against_full_vector_classical_output
hhl_s1_fixed_m,20,4,maj_e6_floquet,0.0001,state_preparation_only,quantum_state_proportional_to_solution,not_comparable_to_classical_full_vector,0.0895935,1,0.0895935,Raw QDK estimate prepares a quantum state; it does not emit x as classical data.,sparse_cg_n20_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,100,99.99999999999999,0.0001,0.0008537999965483323,2.0691753698318214e-15,20.0,104.93499691051856,not_apples_to_apples_against_full_vector_classical_output
hhl_s1_fixed_m,20,4,maj_e6_floquet,0.0001,state_preparation_only,quantum_state_proportional_to_solution,not_comparable_to_classical_full_vector,0.0895935,1,0.0895935,Raw QDK estimate prepares a quantum state; it does not emit x as classical data.,dense_cholesky_n20_k1000,dense_direct,scipy.linalg.solve_assume_pos,1000,178.06427461085983,0.0001,0.00016959999629762024,2.3972347012356682e-15,,528.2635728527852,not_apples_to_apples_against_full_vector_classical_output
hhl_s1_fixed_m,20,4,maj_e6_floquet,0.0001,state_preparation_only,quantum_state_proportional_to_solution,not_comparable_to_classical_full_vector,0.0895935,1,0.0895935,Raw QDK estimate prepares a quantum state; it does not emit x as classical data.,sparse_cg_n20_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,1000,178.06427461085983,0.0001,0.0011489000025903806,1.5782132456760722e-15,20.0,77.98198259030114,not_apples_to_apples_against_full_vector_classical_output
hhl_s1_fixed_m,20,4,maj_e6_floquet,0.0001,single_scalar_observable_sampling,one bounded scalar observable to additive error about 0.01,conditionally_comparable_only_if_classical_task_is_same_scalar_observable,0.0895935,10000,895.9350000000001,Uses plain 1/error^2 measurement sampling for a bounded observable; amplitude-estimation variants are not modeled.,dense_cholesky_n20_k100,dense_direct,scipy.linalg.solve_assume_pos,100,99.99999999999999,0.0001,0.00018780000391416252,1.3720599011668234e-15,,4770686.8015269255,apples_to_apples_only_for_same_scalar_observable_task
hhl_s1_fixed_m,20,4,maj_e6_floquet,0.0001,single_scalar_observable_sampling,one bounded scalar observable to additive error about 0.01,conditionally_comparable_only_if_classical_task_is_same_scalar_observable,0.0895935,10000,895.9350000000001,Uses plain 1/error^2 measurement sampling for a bounded observable; amplitude-estimation variants are not modeled.,sparse_cg_n20_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,100,99.99999999999999,0.0001,0.0008537999965483323,2.0691753698318214e-15,20.0,1049349.9691051857,apples_to_apples_only_for_same_scalar_observable_task
hhl_s1_fixed_m,20,4,maj_e6_floquet,0.0001,single_scalar_observable_sampling,one bounded scalar observable to additive error about 0.01,conditionally_comparable_only_if_classical_task_is_same_scalar_observable,0.0895935,10000,895.9350000000001,Uses plain 1/error^2 measurement sampling for a bounded observable; amplitude-estimation variants are not modeled.,dense_cholesky_n20_k1000,dense_direct,scipy.linalg.solve_assume_pos,1000,178.06427461085983,0.0001,0.00016959999629762024,2.3972347012356682e-15,,5282635.728527851,apples_to_apples_only_for_same_scalar_observable_task
hhl_s1_fixed_m,20,4,maj_e6_floquet,0.0001,single_scalar_observable_sampling,one bounded scalar observable to additive error about 0.01,conditionally_comparable_only_if_classical_task_is_same_scalar_observable,0.0895935,10000,895.9350000000001,Uses plain 1/error^2 measurement sampling for a bounded observable; amplitude-estimation variants are not modeled.,sparse_cg_n20_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,1000,178.06427461085983,0.0001,0.0011489000025903806,1.5782132456760722e-15,20.0,779819.8259030115,apples_to_apples_only_for_same_scalar_observable_task
hhl_s1_fixed_m,20,4,maj_e6_floquet,0.0001,full_vector_readout_lower_bound,full classical solution vector lower-bound readout,lower_bound_not_sufficient_for_vector_accuracy,0.0895935,20,1.79187,At least O(N) state preparations are needed to emit N classical coordinates; signs/amplitudes require more.,dense_cholesky_n20_k100,dense_direct,scipy.linalg.solve_assume_pos,100,99.99999999999999,0.0001,0.00018780000391416252,1.3720599011668234e-15,,9541.373603053851,minimum_readout_charge_added_but_still_not_full_accuracy_tomography
hhl_s1_fixed_m,20,4,maj_e6_floquet,0.0001,full_vector_readout_lower_bound,full classical solution vector lower-bound readout,lower_bound_not_sufficient_for_vector_accuracy,0.0895935,20,1.79187,At least O(N) state preparations are needed to emit N classical coordinates; signs/amplitudes require more.,sparse_cg_n20_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,100,99.99999999999999,0.0001,0.0008537999965483323,2.0691753698318214e-15,20.0,2098.6999382103713,minimum_readout_charge_added_but_still_not_full_accuracy_tomography
hhl_s1_fixed_m,20,4,maj_e6_floquet,0.0001,full_vector_readout_lower_bound,full classical solution vector lower-bound readout,lower_bound_not_sufficient_for_vector_accuracy,0.0895935,20,1.79187,At least O(N) state preparations are needed to emit N classical coordinates; signs/amplitudes require more.,dense_cholesky_n20_k1000,dense_direct,scipy.linalg.solve_assume_pos,1000,178.06427461085983,0.0001,0.00016959999629762024,2.3972347012356682e-15,,10565.271457055704,minimum_readout_charge_added_but_still_not_full_accuracy_tomography
hhl_s1_fixed_m,20,4,maj_e6_floquet,0.0001,full_vector_readout_lower_bound,full classical solution vector lower-bound readout,lower_bound_not_sufficient_for_vector_accuracy,0.0895935,20,1.79187,At least O(N) state preparations are needed to emit N classical coordinates; signs/amplitudes require more.,sparse_cg_n20_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,1000,178.06427461085983,0.0001,0.0011489000025903806,1.5782132456760722e-15,20.0,1559.639651806023,minimum_readout_charge_added_but_still_not_full_accuracy_tomography
hhl_s1_fixed_m,20,4,maj_e6_floquet,0.0001,full_vector_tomography_proxy,full classical solution vector tomography-style proxy at amplitude error about 0.01,rough_proxy_for_full_vector_output,0.0895935,200000,17918.7,Uses N/error^2 repetitions as a simple tomography-scale proxy; constants and algorithmic improvements are not modeled.,dense_cholesky_n20_k100,dense_direct,scipy.linalg.solve_assume_pos,100,99.99999999999999,0.0001,0.00018780000391416252,1.3720599011668234e-15,,95413736.03053851,rough_full_vector_output_proxy_not_a_theorem
